id,displayName,tag,targetMark,range,cost,basePower,amplificationMultiplier,targetType,cooldownRounds
A_FrostBolt,Frost Bolt,Apply,M_Frost,5,1,6,1,Enemy,0
A_BurningBrand,Burning Brand,Apply,M_Burn,4,1,5,1,Enemy,0
A_ChillTrap,Chill Trap,Apply,M_Frost,3,2,4,1,Cell,0
A_ShatterFrost,Shatter Frost,Consume,M_Frost,4,2,12,1,Enemy,2
A_IgniteAsh,Ignite Ash,Consume,M_Burn,4,2,11,1,Enemy,0
A_ThermalBreak,Thermal Break,Consume,M_Burn,1,2,13,1,Enemy,2
A_FocusStrike,Focus Strike,Amplify,,1,1,8,1.5,Enemy,1
A_GuardedSurge,Guarded Surge,Amplify,,2,1,3,1.35,Ally,0
A_QuickSlash,Quick Slash,None,,1,0,7,1,Enemy,0
A_HoldLine,Hold Line,None,,1,0,2,1,Ally,0
